TimeStamp,RAW-ENG,MIN-ENG,MAX-ENG,RAW-VAL,MIN-VAL,MAX-VAL,RAW-MED,MIN-MED,MAX-MED,RAW-FRU,MIN-FRU,MAX-FRU,RAW-FOC,MIN-FOC,MAX-FOC,RAW-EXC,MIN-EXC,MAX-EXC,MarkerRange,MarkerType,MarkerTitle
1445326661.3380001,-0.725731,-1.80828,0.1411,-0.314257,-14.9763,20.0371,0.124301,-0.032635,0.417969,116.29,-7260.71,13346.2,1,0,1,9.1733,2.19886,18.4602,0,1001,0
1445326661.809,-0.681831,-1.80763,0.140672,-0.208901,-15.0118,20.0432,0.124844,-0.0324127,0.417584,113.579,-7258.73,13324.1,1,0,1,9.07289,2.19886,18.4602,0,0,0
1445326662.3380001,-0.646454,-1.80697,0.140313,-0.243449,-15.0461,20.0489,0.127154,-0.0321855,0.417207,110.008,-7256.73,13302,1,0,1,8.76854,2.19886,18.4602,0,0,0
1445326662.8410001,-0.62802,-1.80631,0.139996,-0.333653,-15.0799,20.0544,0.130734,-0.0319504,0.416842,105.034,-7254.74,13280.1,1,0,1,8.9158,2.19886,18.4602,0,0,0
1445326663.3310001,-0.616148,-1.80566,0.139708,-0.430958,-15.1136,20.0598,0.133955,-0.0317085,0.416489,103.663,-7252.71,13258.3,1,0,1,10.665,2.19886,18.4602,0,0,0
1445326663.8870001,-0.605464,-1.80502,0.139448,-0.442939,-15.1471,20.0651,0.137877,-0.0314585,0.41615,119.103,-7250.53,13236.6,1,0,1,11.0306,2.19886,18.4602,0,0,0
1445326664.3699999,-0.595847,-1.80439,0.139214,-0.372102,-15.1803,20.0703,0.141408,-0.0312014,0.415825,133.757,-7248.22,13215,1,0,1,11.1327,2.19886,18.4602,0,0,0
1445326664.9030001,-0.578013,-1.80377,0.13903,-0.298485,-15.213,20.0753,0.144585,-0.0309385,0.415512,141.381,-7245.81,13193.4,1,0,1,11.3985,2.19886,18.4602,0,0,0
1445326665.3770001,-0.561961,-1.80318,0.138895,-0.202401,-15.2448,20.0799,0.14741,-0.0306707,0.415211,150.453,-7243.31,13172,1,0,1,11.1762,2.19886,18.4602,0,0,0
1445326665.9170001,-0.543065,-1.80261,0.138821,-0.175855,-15.2759,20.0842,0.149425,-0.0303997,0.414918,148.721,-7240.79,13150.6,1,0,1,11.6849,2.19886,18.4602,0,0,0
1445326666.428,-0.525889,-1.80208,0.138805,-0.249892,-15.3067,20.0884,0.151238,-0.0301262,0.414633,146.16,-7238.25,13129.3,1,0,1,11.728,2.19886,18.4602,0,0,0
1445326666.9289999,-0.511997,-1.80157,0.138839,-0.243772,-15.3373,20.0925,0.15287,-0.0298505,0.414355,143.812,-7235.7,13108.2,1,0,1,12.1261,2.19886,18.4602,0,0,0
1445326667.401,-0.509492,-1.80106,0.138881,-0.243954,-15.3676,20.0965,0.153855,-0.029574,0.414082,138.671,-7233.16,13087.1,1,0,1,11.8827,2.19886,18.4602,0,0,0
1445326667.928,-0.521773,-1.80053,0.138878,-0.310746,-15.3979,20.1005,0.152904,-0.0293005,0.413806,129.546,-7230.64,13066.1,1,0,1,10.9833,2.19886,18.4602,0,0,0
1445326668.4189999,-0.537931,-1.79998,0.138818,-0.455758,-15.4287,20.1047,0.149669,-0.0290348,0.413519,121.73,-7228.16,13045.2,1,0,1,10.0944,2.19886,18.4602,0,0,0
1445326668.9579999,-0.552474,-1.7994,0.138711,-0.625403,-15.4602,20.1092,0.146487,-0.0287768,0.413221,114.068,-7225.69,13024.5,1,0,1,9.88734,2.19886,18.4602,0,0,0
1445326669.467,-0.565562,-1.79881,0.138562,-0.656434,-15.4924,20.114,0.143622,-0.0285259,0.412914,107.236,-7223.24,13003.8,1,0,1,10.132,2.19886,18.4602,0,0,0
